中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,90 ms,266 Mbps,34099 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,113 ms,220 Mbps,28160 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,24 ms,380 Mbps,48742 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,32 ms,359 Mbps,45977 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,8 ms,7 Mbps,954 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,20 ms,10 Mbps,1301 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,44 ms,658 Mbps,84275 kB/s
129.153.116.130,443,129.153.116.130,US,Los Angeles,中转,72 ms,44 Mbps,5719 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,300 Mbps,38400 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,274 Mbps,35123 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,83 ms,384 Mbps,49152 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,71 ms,379 Mbps,48537 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,69 ms,384 Mbps,49152 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,107 ms,49 Mbps,6377 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,1 ms,96 Mbps,12390 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,72 ms,307 Mbps,39321 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,224 Mbps,28774 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,75 ms,341 Mbps,43724 kB/s
130.61.23.77,443,130.61.23.77,DE,172 Mbps,22016 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,91 ms,46 Mbps,5908 kB/s
141.148.147.214,443,141.148.147.214,US,Los Angeles,中转,87 ms,44 Mbps,5670 kB/s
130.162.178.124,443,2a0b:21c0:1007:1c9:0:bf41:60ac:17a2,DE,Frankfurt,隧道,99 ms,108 Mbps,13926 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,214 Mbps,27443 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,262 Mbps,33587 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,98 ms,47 Mbps,6058 kB/s
141.144.197.5,443,2a0b:21c0:1007:c8:0:2fdf:8c28:7dc7,DE,Frankfurt,隧道,89 ms,146 Mbps,18739 kB/s
47.254.17.234,443,47.254.17.234,US,San Jose,中转,86 ms,42 Mbps,5416 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,85 ms,286 Mbps,36659 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,94 ms,49 Mbps,6282 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,92 ms,38 Mbps,4878 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,71 ms,43 Mbps,5589 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,189 ms,116 Mbps,14950 kB/s
141.147.104.2,443,2a0b:21c0:100a:1f9:0:4da7:105c:8a1b,DE,Frankfurt,隧道,95 ms,120 Mbps,15462 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,82 ms,75 Mbps,9616 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,103 ms,11 Mbps,1419 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,30 ms,77 Mbps,9958 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,115 ms,112 Mbps,14438 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,210 ms,116 Mbps,14848 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,213 ms,75 Mbps,9617 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,209 ms,40 Mbps,5238 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,74 ms,307 Mbps,39321 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,216 ms,84 Mbps,10752 kB/s
152.67.96.55,443,152.67.96.55,AU,Sydney,中转,227 ms,30 Mbps,3887 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,239 ms,2 Mbps,305 kB/s
8.222.163.48,443,47.245.84.175,SG,Singapore,隧道,253 ms,62 Mbps,8049 kB/s
144.22.252.124,443,144.22.252.124,BR,S
